threshold,precision,recall,f1_score
0.6457016366799627,0.2215568862275449,0.2605633802816901,0.23948220064675246
0.6452190367272512,0.22023809523809523,0.2605633802816901,0.23870967741885837
0.6450563040619862,0.21893491124260356,0.2605633802816901,0.23794212218599894
0.6446142987775917,0.21764705882352942,0.2605633802816901,0.2371794871789912
0.6445906674354346,0.21637426900584794,0.2605633802816901,0.2364217252391209
0.6464101365064261,0.22085889570552147,0.2535211267605634,0.23606557376999418
0.6445626852712564,0.21511627906976744,0.2605633802816901,0.23566878980842176
0.6460962773473361,0.21951219512195122,0.2535211267605634,0.2352941176465614
0.6440982074913312,0.2138728323699422,0.2605633802816901,0.23492063492013976
0.6480937242738845,0.22435897435897437,0.24647887323943662,0.23489932885856155
