feature,importance
V14,0.48789522
V4,0.061531343
V10,0.043585997
V12,0.042678013
V19,0.03119525
V8,0.026832053
V3,0.026506852
V20,0.023802832
V11,0.017995741
V15,0.017757434
V7,0.017398728
V18,0.01645296
Amount,0.015958581
V13,0.015199875
V22,0.014772011
V5,0.011550031
V9,0.011338765
V26,0.010550743
V27,0.010364094
V16,0.010218743
V1,0.01019585
V23,0.010187639
V17,0.009832416
V25,0.009806488
V21,0.00962605
V6,0.008895911
Time,0.0087891575
V2,0.006929414
V28,0.006792652
V24,0.0053591337
