contamination,precision,recall,f1_score,roc_auc,pr_auc
0.001,0.0,0.0,0.0,0.5246192959868039,0.0022120179405714854
0.00167,0.0,0.0,0.0,0.5246192959868039,0.0022120179405714854
0.002,0.0,0.0,0.0,0.5246192959868039,0.0022120179405714854
0.003,0.0,0.0,0.0,0.5246192959868039,0.0022120179405714854
0.005,0.0,0.0,0.0,0.5246192959868039,0.0022120179405714854
0.01,0.0011148272017837235,0.007042253521126761,0.0019249278152069298,0.5246192959868039,0.0022120179405714854
