model,contamination,precision,recall,f1_score,roc_auc,pr_auc,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives
Isolation Forest,0.002,0.20903954802259886,0.2605633802816901,0.23197492163009403,0.9406790251961781,0.10828459347693904,0.0016475240067783845,0.7394366197183099,84836,140,105,37
Local Outlier Factor,0.01,0.0011148272017837235,0.007042253521126761,0.0019249278152069298,0.5246192959868039,0.0022120179405714854,0.010544153643381661,0.9929577464788732,84080,896,141,1
